registros,natureza,municipio,cod_municipio,mes,ano,risp,rmbh
5,Homicídio Consumado (Registros),UBERLANDIA,317020,10,2020,9,NÃO
3,Homicídio Consumado (Registros),UBERLANDIA,317020,11,2020,9,NÃO
3,Homicídio Consumado (Registros),UBERLANDIA,317020,12,2020,9,NÃO
2,Estupro Consumado,UBERLANDIA,317020,1,2021,9,NÃO
10,Estupro de Vulnerável Consumado,UBERLANDIA,317020,1,2021,9,NÃO
0,Estupro de Vulnerável Tentado,UBERLANDIA,317020,1,2021,9,NÃO
1,Estupro Tentado,UBERLANDIA,317020,1,2021,9,NÃO
1,Extorsão Consumado,UBERLANDIA,317020,1,2021,9,NÃO
0,Extorsão Mediante Sequestro Consumado,UBERLANDIA,317020,1,2021,9,NÃO
0,Extorsão Tentado,UBERLANDIA,317020,1,2021,9,NÃO
5,Homicídio Tentado,UBERLANDIA,317020,1,2021,9,NÃO
141,Roubo Consumado,UBERLANDIA,317020,1,2021,9,NÃO
6,Roubo Tentado,UBERLANDIA,317020,1,2021,9,NÃO
0,Sequestro e Cárcere Privado Consumado,UBERLANDIA,317020,1,2021,9,NÃO
0,Sequestro e Cárcere Privado Tentado,UBERLANDIA,317020,1,2021,9,NÃO
3,Estupro Consumado,UBERLANDIA,317020,2,2021,9,NÃO
8,Estupro de Vulnerável Consumado,UBERLANDIA,317020,2,2021,9,NÃO
0,Estupro de Vulnerável Tentado,UBERLANDIA,317020,2,2021,9,NÃO
0,Estupro Tentado,UBERLANDIA,317020,2,2021,9,NÃO
2,Extorsão Consumado,UBERLANDIA,317020,2,2021,9,NÃO
0,Extorsão Mediante Sequestro Consumado,UBERLANDIA,317020,2,2021,9,NÃO
1,Extorsão Tentado,UBERLANDIA,317020,2,2021,9,NÃO
4,Homicídio Tentado,UBERLANDIA,317020,2,2021,9,NÃO
83,Roubo Consumado,UBERLANDIA,317020,2,2021,9,NÃO
6,Roubo Tentado,UBERLANDIA,317020,2,2021,9,NÃO
1,Sequestro e Cárcere Privado Consumado,UBERLANDIA,317020,2,2021,9,NÃO
0,Sequestro e Cárcere Privado Tentado,UBERLANDIA,317020,2,2021,9,NÃO
2,Estupro Consumado,UBERLANDIA,317020,3,2021,9,NÃO
8,Estupro de Vulnerável Consumado,UBERLANDIA,317020,3,2021,9,NÃO
0,Estupro de Vulnerável Tentado,UBERLANDIA,317020,3,2021,9,NÃO
0,Estupro Tentado,UBERLANDIA,317020,3,2021,9,NÃO
0,Extorsão Consumado,UBERLANDIA,317020,3,2021,9,NÃO
0,Extorsão Mediante Sequestro Consumado,UBERLANDIA,317020,3,2021,9,NÃO
0,Extorsão Tentado,UBERLANDIA,317020,3,2021,9,NÃO
4,Homicídio Tentado,UBERLANDIA,317020,3,2021,9,NÃO
85,Roubo Consumado,UBERLANDIA,317020,3,2021,9,NÃO
6,Roubo Tentado,UBERLANDIA,317020,3,2021,9,NÃO
1,Sequestro e Cárcere Privado Consumado,UBERLANDIA,317020,3,2021,9,NÃO
0,Sequestro e Cárcere Privado Tentado,UBERLANDIA,317020,3,2021,9,NÃO
1,Estupro Consumado,UBERLANDIA,317020,4,2021,9,NÃO
9,Estupro de Vulnerável Consumado,UBERLANDIA,317020,4,2021,9,NÃO
0,Estupro de Vulnerável Tentado,UBERLANDIA,317020,4,2021,9,NÃO
0,Estupro Tentado,UBERLANDIA,317020,4,2021,9,NÃO
0,Extorsão Consumado,UBERLANDIA,317020,4,2021,9,NÃO
